Venue ID,Event Name,Event Description,Event Host Name,Room Name,Event Start,Event End
auditorium,Winter Wonderland Welcome,Grab a seat and be transported to a winter wonderland.,Pippy Longstockings,Auditorium City,2021-07-04T09:00+07:00,2021-07-04T09:00+07:00
conversationspace,Team Huddle,Ooh la la whisper whisper,Sofi,Cosmic Conversations,2021-07-04T09:30+07:00,2021-07-04T10:00+07:00
auditorium,TED with Ed,Grab a seat and watch an epic talk by the CEO of Sparkle!,Ed Cooke,Auditorium City,2021-07-05T10:00+07:00,2021-07-05T10:30+07:00
auditorium,Big Gathering With People,So many people celebrating stuff.,Sparkle Team,Auditorium City,2021-07-05T11:30+07:00,2021-07-05T11:45+07:00
artpiece,Viewing Beautiful Things,"Wow, it's BREATHTAKING",Pearl,Artsy Portal,2021-07-05T12:00+07:00,2021-07-05T13:45+07:00
artpiece,Karaoke,"Sit back, relax and watch a fun karaoke set. Sing along if you'd like!",Cosmic Joke,Artsy Portal,2021-07-05T13:45+07:00,2021-07-05T14:00+07:00
auditorium,Unmissable Event,It's gonna be really cool you should totally come it's unmissable I promise. ,Mickey Mouse,Auditorium City,2021-07-05T14:00+07:00,2021-07-05T15:00+07:00
auditorium,TEDx Talk,Come watch this riveting talk!,Ed Cooke,Auditorium City,2021-07-06T08:45+07:00,2021-07-06T09:00+07:00
conversationspace,Networking,Grab a seat and chat with new friends!,Star Sharples,Cosmic Conversations,2021-07-06T09:45+07:00,2021-07-06T10:00+07:00
conversationspace,Break Bread,"Grab your lunch, sit at a table, and chat with other guests.",You!,Cosmic Conversations,2021-07-06T10:00+07:00,2021-07-06T11:00+07:00
musicvenue,Beat Time,Boom boom boom,Resident DJ,Spacey Beats Tables,2021-07-06T11:05+07:00,2021-07-06T11:30+07:00
conversationspace,Sparkle Secret Chit Chat,Who knows what's happening in here...,Sofi,Cosmic Conversations,2021-07-06T11:30+07:00,2021-07-06T12:00+07:00
musicvenue,Away With The Fairies,This is happening oh my goodness it's going to be great,Sofi,Spacey Beats Tables,2021-07-06T12:00+07:00,2021-07-06T13:00+07:00
musicvenue,Interstellar Dance Party,Beware of the Banana Overlord and dance to your heart's content.,DJ LaChance,Spacey Beats Tables,2021-07-06T13:45+07:00,2021-07-06T15:00+07:00
conversationspace,Sofi's talking here,Woooo come in,Sofi,Cosmic Conversations,2021-07-07T09:30+07:00,2021-07-07T09:45+07:00
auditorium,An Awesome Event,Description of the awesome event,Star Sharples,Auditorium City,2021-07-07T09:45+07:00,2021-07-07T10:00+07:00
musicvenue,A lovely time,"This will be, an everlasting time",Sparkleaceman,Spacey Beats Tables,2021-07-07T10:00+07:00,2021-07-07T11:00+07:00
auditorium,Extraterrestrial Presentation ,Grab a seat and learn about outer space worlds.,Alien Friends,Auditorium City,2021-07-07T11:00+07:00,2021-07-07T12:00+07:00
conversationspace,Communal Meal,"Grab your lunch, sit at a table, and chat with other guests.
",Sofi in Space,Cosmic Conversations,2021-07-08T12:00+07:00,2021-07-08T12:30+07:00
conversationspace,Chit Chat Time,Chitty chat with your peeps.,Sofi,Cosmic Conversations,2021-07-08T12:30+07:00,2021-07-08T13:00+07:00